SEQ,酒店,国家,省份,城市,商圈,星级,业务部门,房间数,图片数,评分,评论数,城市平均实住间夜,酒店总订单,酒店总间夜,酒店实住订单,酒店实住间夜,酒店直销订单,酒店直销间夜,酒店直销实住订单,酒店直销实住间夜,酒店直销拒单,酒店直销拒单率,城市直销订单,城市直销拒单率,拒单率是否小于等于直销城市均值
aba_2213,阿坝山之旅背包客栈,中国,四川,阿坝,四姑娘山,二星及其他,客栈,20,NULL,2.316159964,13,34.06,22,29,13,15,21,28,13,15,2,9.52%,34147,7.90%,0
aba_2217,阿坝若尔盖大酒店,中国,四川,阿坝,NULL,二星及其他,低星,71,NULL,4.267769814,2,34.06,5,7,4,6,5,7,4,6,1,20.00%,34147,7.90%,0
aba_2233,九寨沟云天海大酒店,中国,四川,阿坝,九寨沟沟口,三星级/舒适,低星,100,NULL,2.783930063,7,34.06,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2243,阿坝九旅假日酒店,中国,四川,阿坝,九寨沟沟口,四星级/高档,OTA,140,NULL,3.00515008,49,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2248,九寨沟川主寺岷江源大酒店,中国,四川,阿坝,黄龙机场、川主寺,二星及其他,低星,228,NULL,3.211859941,109,34.06,12,25,4,6,6,12,3,5,3,50.00%,34147,7.90%,0
aba_2259,松潘天马大酒店,中国,四川,阿坝,松潘古城,三星级/舒适,低星,218,NULL,2.961240053,21,34.06,3,5,3,5,3,5,3,5,1,33.33%,34147,7.90%,0
aba_2264,九寨沟西北大酒店,中国,四川,阿坝,漳扎镇,二星及其他,低星,NULL,NULL,4.633510113,6,34.06,7,15,2,5,7,15,2,5,0,0.00%,34147,7.90%,1
aba_2266,九寨沟宾馆,中国,四川,阿坝,漳扎镇,三星级/舒适,低星,134,NULL,3.887840033,8,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2269,九寨沟九寨花园酒店,中国,四川,阿坝,九寨沟沟口漳扎镇,二星及其他,低星,75,NULL,3.811759949,65,34.06,15,21,11,15,15,21,11,15,2,13.33%,34147,7.90%,0
aba_2271,九寨沟棠中大酒店,中国,四川,阿坝,漳扎镇,四星级/高档,OTA,154,NULL,3.671169996,141,34.06,5,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2278,九寨沟自游国际青年旅舍,中国,四川,阿坝,九寨沟沟口漳扎镇,二星及其他,客栈,27,NULL,3.947819948,984,34.06,254,405,188,294,214,342,164,258,1,0.47%,34147,7.90%,1
aba_2286,怡莱酒店九寨沟店,中国,四川,阿坝,九寨沟沟口,经济型,低星,120,NULL,3.858779907,48,34.06,26,41,15,21,25,39,14,19,2,8.00%,34147,7.90%,0
aba_2291,阿坝漳扎九寨阳光酒店,中国,四川,阿坝,漳扎镇,四星级/高档,OTA,258,NULL,3.2130301,17,34.06,4,8,3,6,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2298,阿坝九寨沟藏宫阁酒店,中国,四川,阿坝,漳扎镇,二星及其他,低星,98,NULL,4.354430199,8,34.06,23,38,15,21,14,24,11,15,1,7.14%,34147,7.90%,1
aba_2303,阿坝松潘川主寺阳光酒店,中国,四川,阿坝,黄龙机场、川主寺,三星级/舒适,低星,88,NULL,4.402180195,6,34.06,2,3,2,3,2,3,2,3,0,0.00%,34147,7.90%,1
aba_2313,川主国际饭店,中国,四川,阿坝,黄龙机场、川主寺,四星级/高档,OTA,128,NULL,4.105559826,354,34.06,35,64,29,56,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2315,阿坝交通宾馆,中国,四川,阿坝,松潘古城,二星及其他,低星,20,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2325,登巴国际连锁客栈松潘店,中国,四川,阿坝,松潘古城,经济型,客栈,16,NULL,4.528999805,179,34.06,68,99,52,78,63,93,50,75,1,1.59%,34147,7.90%,1
aba_2337,九寨沟星宇国际大酒店,中国,四川,阿坝,九寨沟沟口,五星级/豪华,OTA,193,NULL,4.439929962,296,34.06,121,295,66,142,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2338,九寨沟九宫宾馆,中国,四川,阿坝,漳扎镇,四星级/高档,OTA,224,NULL,4.584440231,15,34.06,43,95,27,62,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2339,九寨沟华缘山庄,中国,四川,阿坝,九寨沟沟口,二星及其他,低星,128,NULL,3.603359938,7,34.06,2,11,NULL,NULL,2,11,NULL,NULL,2,100.00%,34147,7.90%,0
aba_2359,九寨沟金珠林卡度假酒店,中国,四川,阿坝,漳扎镇,三星级/舒适,低星,168,NULL,3.976840019,129,34.06,17,41,11,22,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2379,黄龙国际大酒店,中国,四川,阿坝,松潘古城,二星及其他,低星,155,NULL,1.980209947,6,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2399,九寨沟聚峰山庄,中国,四川,阿坝,漳扎镇,二星及其他,低星,143,NULL,2.185790062,2,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2400,九寨沟枫叶美食酒店,中国,四川,阿坝,漳扎镇,二星及其他,低星,94,NULL,2.552249908,4,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2405,九寨天堂甲蕃古城假日酒店,中国,四川,阿坝,甘海子漳扎镇,四星级/高档,OTA,606,NULL,4.497910023,999,34.06,27,74,12,30,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2406,九寨沟悠游度假连锁酒店,中国,四川,阿坝,漳扎镇,四星级/高档,OTA,30,NULL,3.648570061,26,34.06,6,12,1,2,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2408,九寨沟九龙宾馆,中国,四川,阿坝,漳扎镇,四星级/高档,OTA,176,NULL,4.460549831,239,34.06,107,244,68,164,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2410,九寨沟金龙国际度假酒店,中国,四川,阿坝,漳扎镇,五星级/豪华,OTA,314,NULL,4.517950058,31,34.06,91,229,59,142,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2413,九寨沟九寨度假村,中国,四川,阿坝,九寨沟沟口,四星级/高档,OTA,187,NULL,4.662220001,1593,34.06,603,1355,440,986,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2424,阿坝九寨大酒店,中国,四川,阿坝,九寨沟沟口漳扎镇,二星及其他,低星,70,NULL,4,333,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2425,九寨沟县九粮宾馆,中国,四川,阿坝,九寨沟县城,二星及其他,低星,67,NULL,3.261389971,23,34.06,22,37,16,30,12,18,9,14,0,0.00%,34147,7.90%,1
aba_2430,九寨天堂洲际大饭店,中国,四川,阿坝,甘海子漳扎镇,五星级/豪华,OTA,1020,NULL,4.561769962,3328,34.06,328,669,183,355,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2448,九寨沟雪莲大酒店,中国,四川,阿坝,九寨沟县城,二星及其他,低星,45,NULL,3.099999905,10,34.06,6,6,1,1,5,5,1,1,1,20.00%,34147,7.90%,0
aba_2468,九寨沟悠阳驿站,中国,四川,阿坝,九寨沟沟口,二星及其他,低星,32,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2473,九寨沟喜来登国际大酒店,中国,四川,阿坝,九寨沟沟口,五星级/豪华,OTA,482,NULL,4.20457983,1236,34.06,178,367,91,191,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2482,九寨沟三喜宾馆,中国,四川,阿坝,九寨沟沟口漳扎镇,二星及其他,低星,60,NULL,4.350719929,1280,34.06,123,221,87,148,71,130,49,88,0,0.00%,34147,7.90%,1
aba_2484,九寨沟南坪宾馆,中国,四川,阿坝,九寨沟县城,二星及其他,低星,NULL,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2485,九寨沟青年旅舍雪山人家,中国,四川,阿坝,漳扎镇,二星及其他,客栈,60,NULL,3.735059977,11,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2486,九寨沟九寨之旅大酒店,中国,四川,阿坝,九寨沟沟口,三星级/舒适,低星,168,NULL,3.942759991,65,34.06,27,43,12,19,15,30,8,15,0,0.00%,34147,7.90%,1
aba_2487,阿坝九寨沟长海宾馆,中国,四川,阿坝,九寨沟沟口,二星及其他,低星,53,NULL,3.644469976,77,34.06,11,14,5,7,6,9,3,5,1,16.67%,34147,7.90%,0
aba_2488,九寨沟黄浦大酒店,中国,四川,阿坝,九寨沟县城,四星级/高档,OTA,96,NULL,4.328829765,143,34.06,17,35,9,21,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2489,九寨沟万家豪酒店,中国,四川,阿坝,九寨沟县城,四星级/高档,OTA,97,NULL,4.430049896,303,34.06,40,69,30,52,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2490,九寨黄龙富贵林大酒店,中国,四川,阿坝,黄龙机场、川主寺,二星及其他,低星,210,NULL,4.111529827,3,34.06,5,8,NULL,NULL,5,8,NULL,NULL,2,40.00%,34147,7.90%,0
aba_2491,松潘川龙山庄,中国,四川,阿坝,黄龙机场、川主寺,三星级/舒适,低星,70,NULL,3.181819916,2,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2494,九寨沟千鹤国际大酒店,中国,四川,阿坝,九寨沟沟口,四星级/高档,OTA,251,NULL,4.626329899,1143,34.06,273,575,176,377,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2519,九寨沟仙池度假酒店,中国,四川,阿坝,漳扎镇,三星级/舒适,低星,102,NULL,3.384690046,88,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2520,九寨沟县祥云酒店,中国,四川,阿坝,九寨沟县城,二星及其他,低星,40,NULL,2.926359892,15,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2531,九寨沟蜀电宾馆,中国,四川,阿坝,漳扎镇,二星及其他,低星,NULL,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2535,松潘古城人家,中国,四川,阿坝,松潘古城,二星及其他,客栈,NULL,NULL,3.53553009,0,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2539,九寨沟鑫隆酒店,中国,四川,阿坝,漳扎镇,三星级/舒适,低星,150,NULL,2.663480043,15,34.06,2,2,2,2,2,2,2,2,0,0.00%,34147,7.90%,1
aba_2545,九寨沟福鑫酒店,中国,四川,阿坝,九寨沟沟口,二星及其他,低星,59,NULL,3.201299906,6,34.06,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2552,九寨沟龙达商务酒店,中国,四川,阿坝,漳扎镇,二星及其他,低星,NULL,NULL,3,1,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2559,九寨沟卓玛小屋,中国,四川,阿坝,漳扎镇,二星及其他,客栈,15,NULL,4.827990055,25,34.06,29,42,11,16,14,21,6,9,3,21.43%,34147,7.90%,0
aba_2563,九寨沟龙康雪域天居,中国,四川,阿坝,九寨沟沟口,二星及其他,低星,NULL,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2564,九寨沟佳城山庄,中国,四川,阿坝,九寨沟沟口,二星及其他,低星,NULL,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2690,阿坝草根人家旅舍九峰店,中国,四川,阿坝,漳扎镇,二星及其他,客栈,NULL,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2696,九寨沟九寨人家青年旅舍,中国,四川,阿坝,漳扎镇,二星及其他,客栈,50,NULL,4.079800129,58,34.06,2,3,1,1,2,3,1,1,1,50.00%,34147,7.90%,0
aba_2713,阿坝红原宾馆,中国,四川,阿坝,NULL,二星及其他,低星,NULL,NULL,3.739650011,1,34.06,5,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2723,九寨沟佳鑫青年旅社,中国,四川,阿坝,九寨沟沟口漳扎镇,二星及其他,低星,60,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2726,九寨沟友约酒店,中国,四川,阿坝,漳扎镇,二星及其他,低星,175,NULL,1,1,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2732,九寨沟九通阳光大酒店,中国,四川,阿坝,九寨沟沟口,三星级/舒适,低星,127,NULL,4.023719788,686,34.06,132,223,91,164,71,113,56,92,6,8.45%,34147,7.90%,0
aba_2742,九寨沟绿野青年客栈,中国,四川,阿坝,漳扎镇,二星及其他,客栈,12,NULL,4.025420189,120,34.06,8,10,4,5,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2746,九寨沟上磨金熙酒店,中国,四川,阿坝,黄龙机场、川主寺,四星级/高档,OTA,78,NULL,4.367909908,508,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2750,九寨沟阿克才让客栈,中国,四川,阿坝,漳扎镇,二星及其他,客栈,9,NULL,4.591100216,98,34.06,18,44,7,28,14,30,6,20,0,0.00%,34147,7.90%,1
aba_2751,九寨沟丰乐酒店,中国,四川,阿坝,九寨沟县城,二星及其他,低星,NULL,NULL,3.952850103,1,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2761,九寨沟田园度假酒店,中国,四川,阿坝,NULL,二星及其他,低星,235,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2765,九寨沟藏王宴舞假日酒店,中国,四川,阿坝,九寨沟沟口,四星级/高档,OTA,116,NULL,4.311890125,690,34.06,176,368,138,254,70,123,63,111,2,2.86%,34147,7.90%,1
aba_2769,九寨沟凯瑞假日酒店,中国,四川,阿坝,九寨沟沟口,二星及其他,低星,72,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2773,黑水迎宾宾馆,中国,四川,阿坝,NULL,二星及其他,低星,58,NULL,4.307690144,38,34.06,98,178,74,131,83,149,64,117,3,3.61%,34147,7.90%,1
aba_2774,黑水冰川大酒店,中国,四川,阿坝,NULL,二星及其他,低星,123,NULL,4.186049938,99,34.06,36,65,16,28,27,55,16,28,4,14.81%,34147,7.90%,0
aba_2775,阿坝州迎宾馆,中国,四川,阿坝,九寨沟沟口,二星及其他,低星,NULL,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2776,阿坝茂县宾馆,中国,四川,阿坝,坪头羌寨,二星及其他,低星,NULL,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2777,阿坝壤巴拉宾馆,中国,四川,阿坝,NULL,二星及其他,低星,80,NULL,3.411760092,4,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2778,阿坝古尔沟温泉山庄,中国,四川,阿坝,古尔沟,三星级/舒适,低星,80,NULL,3.292730093,94,34.06,30,76,13,25,8,16,3,7,5,62.50%,34147,7.90%,0
aba_2779,阿坝鑫茂宾馆,中国,四川,阿坝,坪头羌寨,二星及其他,低星,NULL,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2780,汶川新国旅大酒店,中国,四川,阿坝,NULL,二星及其他,低星,76,NULL,3.852010012,53,34.06,27,35,19,23,27,35,19,23,1,3.70%,34147,7.90%,1
aba_2835,阿坝理县桃坪羌寨尔玛酒家,中国,四川,阿坝,桃坪羌寨,二星及其他,客栈,20,NULL,4.296579838,7,34.06,27,52,20,31,26,51,19,30,4,15.38%,34147,7.90%,0
aba_2838,阿坝茂县新家园度假酒店,中国,四川,阿坝,坪头羌寨,二星及其他,客栈,35,NULL,4.631279945,106,34.06,48,74,25,38,32,48,20,30,4,12.50%,34147,7.90%,0
aba_2840,阿坝318连锁汽车旅馆红原店,中国,四川,阿坝,NULL,三星级/舒适,低星,101,NULL,4.103710175,102,34.06,1,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2841,阿坝古尔沟藏蓬山庄,中国,四川,阿坝,古尔沟,二星及其他,客栈,20,NULL,3.806050062,6,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2842,阿坝四姑娘山回来客栈,中国,四川,阿坝,四姑娘山,二星及其他,低星,10,NULL,4.383080006,11,34.06,9,23,4,7,7,20,4,7,3,42.86%,34147,7.90%,0
aba_2854,九寨沟天堂甲蕃古城酒店,中国,四川,阿坝,甘海子漳扎镇,四星级/高档,OTA,500,NULL,3.096220016,67,34.06,3,5,2,3,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2903,九寨沟格桑花客栈梦幻店,中国,四川,阿坝,漳扎镇,二星及其他,客栈,30,NULL,4.064859867,298,34.06,4,5,2,3,3,4,1,2,1,33.33%,34147,7.90%,0
aba_2945,九寨人家老房子客栈,中国,四川,阿坝,九寨沟县城,二星及其他,客栈,20,NULL,4.400000095,49,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_3032,阿坝州茂县尔玛国际酒店,中国,四川,阿坝,坪头羌寨,三星级/舒适,低星,99,NULL,3.628060102,205,34.06,80,129,45,71,47,82,29,49,5,10.64%,34147,7.90%,0
aba_3033,阿坝州茂县国际饭店,中国,四川,阿坝,坪头羌寨,四星级/高档,OTA,295,NULL,4.382460117,316,34.06,43,109,27,72,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_3040,四姑娘山阿拉主客栈,中国,四川,阿坝,四姑娘山,二星及其他,客栈,30,NULL,4.215149879,11,34.06,12,13,1,1,12,13,1,1,4,33.33%,34147,7.90%,0
aba_3041,阿坝雄师山庄,中国,四川,阿坝,漳扎镇,二星及其他,低星,NULL,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_3042,四姑娘山雪莲山庄,中国,四川,阿坝,四姑娘山,二星及其他,低星,20,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_3045,九寨沟赵家大院农家乐,中国,四川,阿坝,九寨沟沟口,二星及其他,客栈,40,NULL,3.53553009,0,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_3054,理县吉祥谷国际大酒店,中国,四川,阿坝,毕棚沟,三星级/舒适,低星,98,NULL,4.018680096,283,34.06,57,103,28,48,37,65,18,28,4,10.81%,34147,7.90%,0
aba_3059,松潘嘉绒鑫宫藏文化酒店,中国,四川,阿坝,黄龙机场、川主寺,三星级/舒适,低星,124,NULL,4.174409866,258,34.06,15,18,8,11,4,4,2,2,1,25.00%,34147,7.90%,0
aba_3077,阿坝驿家青年客栈川主寺店,中国,四川,阿坝,黄龙机场、川主寺,二星及其他,客栈,32,NULL,3.045759916,8,34.06,1,1,NULL,NULL,1,1,NULL,NULL,0,0.00%,34147,7.90%,1
aba_3096,九寨沟鑫涛阁藏家客栈二号楼,中国,四川,阿坝,九寨沟沟口,二星及其他,客栈,31,NULL,4.839069843,1079,34.06,162,238,105,147,156,229,104,146,0,0.00%,34147,7.90%,1
aba_3101,阿坝禹羌商务客栈,中国,四川,阿坝,NULL,二星及其他,客栈,20,NULL,4.12774992,13,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_3130,德阳世纪缘宾馆,中国,四川,阿坝,九寨沟沟口,二星及其他,低星,65,NULL,NULL,NULL,34.06,3,4,NULL,NULL,3,4,NULL,NULL,1,33.33%,34147,7.90%,0
aba_3177,阿坝四姑娘山日月山庄,中国,四川,阿坝,四姑娘山,二星及其他,客栈,15,NULL,4.625780106,35,34.06,74,153,34,86,65,141,34,86,2,3.08%,34147,7.90%,1
aba_3191,九寨沟安多小院青年旅舍,中国,四川,阿坝,漳扎镇,二星及其他,客栈,21,NULL,4.061789989,86,34.06,6,6,1,1,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_3202,阿坝阿佐客栈,中国,四川,阿坝,漳扎镇,二星及其他,客栈,15,NULL,3.176419973,1,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_3203,九寨沟县明朗华夏商务酒店,中国,四川,阿坝,九寨沟县城,二星及其他,低星,27,NULL,3.733360052,10,34.06,2,2,NULL,NULL,2,2,NULL,NULL,0,0.00%,34147,7.90%,1
aba_3206,九寨沟卓玛青年旅舍,中国,四川,阿坝,漳扎镇,二星及其他,客栈,32,NULL,4.029819965,143,34.06,79,99,50,63,75,94,48,61,6,8.00%,34147,7.90%,0
aba_3208,阿坝驿家客栈九寨沟3店,中国,四川,阿坝,漳扎镇,二星及其他,客栈,26,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_3210,九寨沟九寨人商务酒店,中国,四川,阿坝,九寨沟沟口漳扎镇,二星及其他,低星,32,NULL,4.247620106,292,34.06,37,63,23,38,35,61,23,38,1,2.86%,34147,7.90%,1
aba_3245,茂县峤联宾馆,中国,四川,阿坝,坪头羌寨,二星及其他,低星,55,NULL,3,1,34.06,15,15,6,6,15,15,6,6,3,20.00%,34147,7.90%,0
aba_3248,理县聚鑫商务旅馆,中国,四川,阿坝,毕棚沟,二星及其他,低星,18,NULL,3.895109892,2,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_3249,九顶山国际大酒店,中国,四川,阿坝,坪头羌寨,四星级/高档,OTA,350,NULL,3.991359949,741,34.06,80,158,47,99,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_3251,九寨沟精品国际青年旅舍,中国,四川,阿坝,九寨沟沟口漳扎镇,二星及其他,客栈,21,NULL,NULL,NULL,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_3260,九寨沟岷山宾馆,中国,四川,阿坝,九寨沟沟口漳扎镇,二星及其他,客栈,30,NULL,4.38820982,421,34.06,23,37,15,25,16,26,10,16,3,18.75%,34147,7.90%,0
aba_3267,阿坝红原家园酒店,中国,四川,阿坝,NULL,二星及其他,低星,100,NULL,3.901690006,92,34.06,3,3,3,3,2,2,2,2,0,0.00%,34147,7.90%,1
