编号,酒店名称,评论信息,备注,评论人,评论日期,评分,情感倾向
10,亚朵酒店,组团到顺德走个美食之旅，抢到了最后三间特价房，真的很不错。房间很大，很干净，酒店比较新，硬件设备很不错。整体服务都在线。态度也非常友好，能尽量满足客人的需求，住宿体验很好。靠近欢乐海岸plus，有的房间是能看到顺德之眼的摩天轮的。边上是华侨城，吃的，玩的都有，觅食有公车，地铁。，交通其实很方便。唯一的一点小缺陷是出租车无法开到酒店门口，要不从下面露天停车场上去，要不从街边走过去，对拖着大包小包行李的顾客来说有一丢丢不友好。,,玉梅xx涛,2022-11-26,4,正向
11,亚朵酒店,"亚朵酒店:_x000D_
酒店位置:位置处于欢乐海岸，非常适合亲子游，欢乐海岸不需要进入玩设施也可以看夜晚灿烂的灯光，人非常多，距离清晖园，顶峰山公园，长鹿休博园都挺近的。更重要的是，吃在顺德，酒店附近基本就够吃两三天了，很多比较有名的店都在这有门店，炎热的天气带娃，不需要跑远就可以吃到好吃的顺德菜非常好。_x000D_
酒店硬件:1.床品方面没话说，亚朵的床品真的是不错，不愧是出名的自有品牌产品，不爱太软的床和枕头，这里的床垫刚刚好，枕头可选择软硬；2.能有2米特大床跟1.5的单人床的酒店真的不太多，这点真的是特别棒，亲子游的福音；3.茶不是敷衍的茶包而是茶叶，还有免费的冰柜赠饮，真的是棒棒哒;4.房间隔音很不错，离欢乐海岸那么近但完全没有听到任何声音，也听不到别的房间的动静，整个房间都非常安静，不用担心外界的声音打扰宝宝休息；5.房间没有使用传统酒店爱用的地毯，我真的超级不爱地毯，因为觉得太脏了，木地板虽然容易有点声响但胜在干净卫生；6.这次我们定了观景大床房跟双床，但大床房床边有飘窗的设计更适合带小朋友，夜晚的摩天轮真的很美很美，晚上都不想睡，坐窗边看夜景都能看很久。_x000D_
酒店软件:这家店的服务非常好，前台很有服务意识，看到我们推着婴儿车主动帮我们提行李，帮我们调整两个住的房间在同一楼层，办理入住时给等待的客人倒茶水，退房时给客人送小礼品。酒店的早餐也还挺不错的，品种不算少，也挺新鲜。稍微有点不够满意的就是房间马桶堵塞后请服务员来帮忙疏通，在多次催促下经过了四个小时才解决，如果能在应对小问题的时候可以更及时回应就更好了。_x000D_
额外:携程订房的附赠小福利都是凭房卡就可以获得，带娃的一定去商场三楼兑换一次小火车，天热遛娃刚好可以用上。_x000D_
    第一次住亚朵，真的是应了我在网上看到的那句话:四星级的酒店，五星级的环境，六星级的服务，七星级的性价比。有机会还会再来住的。",,敏xx鑫,2022-05-30,1,负向
12,亚朵酒店,"整体入住感觉不错的，很介意脏脏的酒店，所以才选了这里，没有失望。_x000D_
酒店提供的小细节很不错。比如茶，咖啡（还提供了外带杯，很贴心了）_x000D_
茶壶茶杯烫一下就可以喝茶了，而且刚好放在露台的小茶几上_x000D_
行政房景观很哇塞，白天晚上都很好看。可以看见街区和摩天轮。尤其晚上的夜景，吃吃点心喝喝热茶体验感plus了。_x000D_
酒店的设施算是麻雀虽小五脏俱全了，停车场有，健身房有（不大），洗衣房有（需要付费的好像），餐厅有。_x000D_
对了，酒店的卫浴也可以的灭菌的洗手液，马桶也给提供了消毒纸巾。",,荣xx秀英,2022-12-25,1,负向
13,亚朵酒店,专门订了两间行政景观高级房间，可跟高端酒店名不符，完全对不上号。带孩子在一楼办理入住，好多蚊子飞来飞去，叮出几个包，跟前台说怎么这么多蚊子，前台的女经理头也不抬，随口应了一句：夏天是蚊子多的。入住后房间设施一般，洗手台好鸡肋，上面洗手下面漏水洗脚。枕头背后是湿，被子是湿润的。,,倩xx磊,2022-03-05,1,负向
14,亚朵酒店,酒店房间挺大，设施齐全干净。附近有一家以经典摩托车为主体的酒吧绝对是打卡好地方，酒吧把多台经典的摩托车摆放在两层玻璃窗，很吸引眼球！爱好摩托车的人一定要去看看。,,婷xx楠,2022-10-07,5,正向
15,亚朵酒店,房间没有夜景。全程除了入住前台见到服务人员其他没有见过。没有传说中的亚朵好。体验了一下亚朵的茶，味道不错，后悔只拿了一瓶喝。小朋友喜欢薯片饼干。,,欢xx敏,2022-11-18,4,正向
16,亚朵酒店,五一节间涨价翻倍，环境服务没得说，离店还送了手信很用心，周边都是吃的，玩两天都没吃完这些店铺，幸好选了这家没选步行街附近的，不然五一要人人人人我人人人人人了哈哈哈,,莉xx平,2022-12-22,5,正向
17,亚朵酒店,位置非常好，酒店楼下就是顺峰美食一条街，大型商超，景色宜人。酒店的设施非常人性化，前台代收的快递，由机器人送到房间。,,冬梅xx勇,2022-11-17,4,正向
18,亚朵酒店,"酒店就在佛山地铁3号线的欢乐海岸站A出口的旁边，地理位置非常好，从酒店到欢乐海岸的游乐区，大概步行5分钟就可以了。_x000D_
这次我们选择了行政景观房，房间面积挺大的，内里配套比较齐全，洗手间是干湿分离的，使用卫生间与淋浴间都可以互不干扰。房间内有配套亚朵的咖啡及茶叶，品质还可以，而且冰箱内外的茶饮、饼干都是包含在房费内，可以任意享用。_x000D_
从房间的窗户就可以看到欢乐海岸的标志性游乐设施——摩天轮?，尤其晚上摩天轮及园区各处亮灯后，看过去还是挺漂亮的。酒店还赠送了一次芬麦小火车门票，可以凭房卡到酒店对面的O'plaza商场3楼坐小火车一次，如果带着小朋友来住店的话，这个赠送的项目还是挺合适的。_x000D_
这次的入住，我们感觉酒店的前台及楼层的服务人员态度都是挺好的，见到客人也会主动打招呼或询问有什么可以帮助客户的，回应客户需求的速度也比较迅速。在酒店的18楼还有一个小型健身房及洗衣房，这些设施也挺不错的。总体来说，这次出行选择亚朵酒店，大家都挺认可的。",,岩xx金凤,2022-09-23,5,正向
19,亚朵酒店,果然是快捷酒店，房间卫生不达标，施工不达标，很多家具都坏了。 服务员都是年轻人，没有酒店服务员的职业素养。总体来说 就是坑。,,健xx秀芳,2022-04-01,1,负向
20,亚朵酒店,"第一次住亚朵，以后估计不会再选择。_x000D_
吐槽几点，_x000D_
1、我一个人带着一个1岁小孩，办理入住非常多人，我排队等前面三个人办完，终于到我的时候，跟我说让我再等他给别人开发票先，ok，换了个女的来，第一句没有称呼别说尊称“你住一晚是吧”，嗯，接着办理，来了个电话，嗯，继续先解决电话问题。嗯，最后是我2点半到来早了行政大床没收好，帮我升级了行政景观大床，嗯，我谢谢你们。然后我说我一个人带着小孩子能不能到停车场帮忙拿东西，嗯，“你很着急吗”，可以等到3.4点换班再来叫客房服务帮我拿。哎_x000D_
2、送餐机器人，野蛮冲撞，在电梯它进来要马上让开，不然会撞过来，出去也是，直接无视小孩子冲出去。_x000D_
3、标的免费停车，我停了一晚出去还要付15块，我不知道是减免部分还是那个前台根本就没弄好。_x000D_
4、最无语的，8:53分早上，楼下装修还是干嘛，敲敲敲，绝了。_x000D_
唯一欣慰的是客房姐姐很贴心，见我一个人带小孩，我问她哪里借行李车，她说一楼，不多的话帮我一起去停车场拿，帮我提了一袋重的，从提起那一刻到房间都没有放到地上过，很赞?。_x000D_
前台服务水平很差差评，刚住完洲际智选假日对比一下，前台服务水平差别太大。",,浩xx秀梅,2022-11-03,1,负向
21,亚朵酒店,满怀期待带着孩子入住这家景区酒店，一直认为会一如既往的好，谁知这是我住过最差，体验最不好的一次入住，首先，前台的香薰味道太浓，觉得不舒服，房间内的床单，被子感觉很湿润，一点不干爽，贵妃椅坐着感觉有小虫子，最不能忍受的是第二天早上早餐，酒店说十点半结束早餐时间，我大概是九点五十左右到的18楼餐厅，进餐厅后什么都没有，只有几个餐包，你们叫客人吃什么早餐，吃了个寂寞！这次糟糕体验，以后不会再入住亚朵这个品牌的酒店！,,海燕xx琳,2022-05-27,1,负向
22,亚朵酒店,空调差，房间潮湿，一晚上与蚊子斗争……。极差的体验……。,,桂香xx建,2022-12-20,1,负向
23,亚朵酒店,"我是搜顺德大良地区*星酒店出来这个酒店的 就订了这家离乐园最近的。到达以后发现完全不像*星酒店 设施服务各方面都没达到 无泳池 我订的房型和宣传照片几乎没有相似之处。最多算3、4星酒店吧。_x000D_
服务员的服务有两次让我大跌眼镜 一次是小朋友上完厕所告诉我马桶堵了，我马上就打电话给前台 叫前台找个客房服务过来通一下 前台竟然责惫的语气说 你是不是把厕纸丢进马桶了吧，教育我的口吻说下次请我要丢垃圾桶里。我的三观都炸裂了，从来没有碰到过*星酒店的员工敢如此和客人说话的，轮得到你教客人如何生活啊？恨不得教人如何拉屎？就算客人不小心拉屎拉地上你也得擦呀。这是嫌脏还是嫌麻烦？你们的马桶有问题 怎么还能责怪到客人头上？天呐！我只知道很多先进的国家，比如日本是绝对不允许把擦完大小便的纸丢进垃圾桶了，因为会产生异味和细菌 从而会二次污染 所以他们酒店的厕所甚至于连垃圾桶都不会放。国内吧，扔进马桶直接冲或者是扔在垃圾桶里了，两种习惯都有了。你凭什么规定我一定要采用哪种生活方式。[破涕为笑][捂脸][破涕为笑][捂脸]嗯，过了挺久的 客房服务姗姗来迟。开口第一句话就是教训我们小朋友 说你是不是把手纸扔马桶里面搞堵了？边一顿教训 边不情愿地在那里搞卫生。_x000D_
第二件事 我无论住多么高档的*星酒店 酒店毛巾绝对不用 就算洁癖吧，成百上千人用的东西 还是算了吧 用自己带的毛巾 不过呢我会用酒店毛巾铺在洗浴的地上吸水防滑。 结果打扫房间的阿姨，竟然跟我说这样太脏了 我们小朋友就问他，你们不是每天都要拿去洗和消毒吗？难不成她还希望我帮她用完洗好折好。这样子的必须差评的。 _x000D_
某一天阿姨清洁完 房间厕所地上都忘了擦 某一天卷纸用完 忘记补给 甚至于 在走廊上走着 听到有一个服务员在和另外一个服务员聊天 说：某个房间还投诉她没打扫干净 切 肯定比她自己家干净。。。希望酒店好好加强服务人员的培训！_x000D_
好的地方 有一面景观不错 每天小冰箱的饮料都免费。还有会送外卖的小机器人。",,秀英xx秀荣,2022-10-27,1,负向
24,亚朵酒店,首先承认卫生可以，房间也算漂亮，但这是我住过唯一的一间不提供冷气的酒店，酒店人员也无法解决，虽然是春天，但室内二十七八度，室外和走廊还凉快舒服，不可能开门睡觉吧？退房时间修理电梯，等了40分钟的电梯，也是晕了，住过最差的一间亚朵，严重不推荐！,,冬梅xx强,2022-03-06,1,负向
25,亚朵酒店,大床房，卫生间下水很吵，晚上都是楼上的洗澡冲马桶下水声音。服务也一般，想要一床被子，傍晚就给前台打电话要被子，要了一个晚上不给，最后夜里23点说被子不够了，都被借出去了，那可以早一点告知住客啊，不能这么一拖再拖。房间卫生很一般，春节人多，打扫很匆忙，地上都是一卷卷的头发。,,旭xx秀梅,2022-10-19,1,负向
26,亚朵酒店,住这么多酒店，前台服务员从来没见过这么差的！垃圾得很！简直就是受气。明显就是培训不到位，素质太差。特别是前台叫一晴的女孩子。亚朵好歹也是连锁，怎么招到这种前台,,春梅xx丹丹,2022-10-25,1,负向
27,亚朵酒店,这是我第一次住到这么恶心的酒店。房间一股烟味。一大早听到滴水声，后来进去淋浴房发现在漏水（水龙头是关好状态），然后有很多黑色像蛆（虫子）一样的东西在动，然后散发着一股恶臭味，修了半天没修好，第二晚换了隔壁的房间。一想到昨晚洗澡，可能是水管里头有这玩意儿，一阵恶心? ，酒店人员表示原因不明，只是说了一句不好意思就没了,,琳xx建国,2022-04-17,1,负向
28,亚朵酒店,"预定过最差的一次酒店，_x000D_
首先，关于房卡的事情在前台解决不了4次（刷不了电梯，开不了房门，等持总卡的人上来解决的）_x000D_
其次，晚上，刚入住后已经很困了，洗漱完准备睡觉，房间电话打了近三遍催促去更换房卡（一点不会关心有没有打扰到，打了三遍接了三遍）_x000D_
第二天中午打电话过来，问是否续住，这个是正常询问，我回应不续住，可能会超时1-2小时，如有超时可扣费即可。   这个电话打了三遍我也重复了三遍，崩溃的是，服务员后来过来敲门，然后这沟通态度也是我第一次见。我后来都有点火，说我犯不上听你说这些，你去跟总台确认就行了。（这里明显感觉到酒店管理的混乱）_x000D_
总结：1.房间一个小被子，盖在身上有点痒，卫       生很一般_x000D_
           2.酒店说刷卡之前出现过程序混乱，有人误拿房卡刷进了别人房间，造成了公共安全事件，所以升级了刷卡程序，我办理个入住跑了好几趟，跟我同层的邻居当时也是在走廊里等。我们都是认为这是住过体验感最差的酒店。_x000D_
         3.入住期间房间电话接了不下10个，每个电话都是同前台讲的明白（前台轮值人员轮换期间没有信息对接）第一次感觉到住个酒店想赶紧换一家。_x000D_
        4.服务员沟通态度，如果拿这个来说事可能会显得客户比较喜欢故意刁难，事实上，摆明了事实，服务员后来没道歉，也没说什么_x000D_
       总之每个细节里好像都不算什么大不了的事儿，但是当你在入住这家酒店的事情，全部都能串联在一起的时候，体验就完全不一样了。_x000D_
也相信这次体验差的不止我一个人。_x000D_
亚朵酒店，以后是再也不会去住了",,桂香xx冬梅,2022-01-28,1,负向
29,亚朵酒店,我加钱升级的高级大床，明知我带小孩，还给我安排一个不制冷，只制热的房间，这也不算什么了，不知道是什么问题，我们都关闭了制热，实在热得不行。出风口一个晚上都吵xx了！开了窗，楼下12点都还在吵！,,玉xx丹,2022-08-03,1,负向
30,亚朵酒店,这么大酒店不开暖风    说整栋楼没有开暖风      室温20度对于住暖气的北方人很不友好    躺上床就冰潮感      开了一晚上小暖风机噪音哇哇的    第二天退房说个别房间维修没有暖风      那就是故意给我间没修好的冷屋呗    后期订的酒店全部电话问一遍都有暖风       就这家最差劲,,小红xx阳,2022-04-09,1,负向
31,亚朵酒店,超级差评，我们明明含早的，等早上去餐厅被赶下来了。服务还不好。走到前台去说前台服务也不好，一句不好意思都没说。卫生也好差。让我感觉这次出差很郁闷。,,利xx瑜,2022-02-11,1,负向
32,亚朵酒店,差评，第一次遇到，到酒店下午3点50办入住说房间卫生没打扫出来，一直等到5点还没有整理出来，又跟我说给我换个房间，让再确认一下，然后到5点半才说可以了，极差，房间空调也不好?,,龙xx旭,2022-08-14,1,负向
33,亚朵酒店,"总的来说是我住过酒店中数一数二差的。_x000D_
_x000D_
? 交通：很方便，酒店前面就有一片超大的露天停车场，周末下午去都有空位的程度，而且是完全免费。_x000D_
_x000D_
?卫生：进去看了一下房间，淋浴室地上全是水，墙壁上也有水，这点不是很满意。另外淋浴间的水有渗出到外面来，地板都被泡起来了。_x000D_
_x000D_
?环境：周边欢乐海岸环境都挺好的，吃喝玩乐的很多。健身房没有跑步机，意料之外，洗衣房还不错，洗烘一体机很多，不需要排队。_x000D_
_x000D_
?服务：非常差，之前没有住过亚朵酒店，首先我们定的是高级双床房，给我们的却是雅致大床房，在携程上搜索这价格可不一样呢，发现问题之后反映给前台，前台回复不知如何处理，需要询问其他人才能回复，要我们稍等，等了十几分钟一点动静都没有，二次致电前台，还是没有答复。_x000D_
当时已经晚上7点了，我们要去吃饭下楼到前台了才跟我说安排换双床房，服务员无论是语气还是表情都不是一个酒店服务员该有的！给我的感觉就是我爱换不换，反正她们已经给我安排换房了。_x000D_
我定的不是招待所不是便捷酒店是出名的亚朵酒店！我们后面因为太累了第二天还要赶路嫌换房太麻烦了，就没换，这一决定让我们太后悔了。晚上11点准备睡觉时，因为空调太冷了于是调空调温度，这一调，空调直接出现如装修般的大噪音，就算把空调关掉都不会停的噪音，联系前台处理，前台21分钟都没有回应，这换做谁能忍受？_x000D_
结果一开房门发现隔壁两间房间也出现同样的情况，只有一个人在负责处理问题，三个房间里面我们没有收到通知换房，没有收到任何问题处理结果。好不容易停了，过了几分钟又开始噪音。_x000D_
这一次给我们换了房间，虽然升到了套房，但是房间睡觉的时候还是能听到咚咚咚的声音，根本已经分不清是外面楼下酒吧吵闹还是空调风机噪音了，实在是奔波的太累了，也凑合着睡着了。第二天退房的时候，前台没有对我们的入住情况做任何的回访，非常差！很难相信花500元住酒店！尤其是沿途的酒店我们都住的很舒服，碰到这种酒店实在太难得。_x000D_
最后问一句，不知道是不是所有亚朵酒店都是不需要员工穿制服的呢？看起来管理真的很乱。_x000D_
_x000D_
如果没有服务这些缺点，这家的窗外风景会成为我喜欢的点，实在是太扫兴，服务让这些景色变得不值一提。",,建xx彬,2022-01-13,1,负向
34,亚朵酒店,说实话这个价格住亚朵确实不便宜，房间整体还行中规中矩卫生也比较干净，但是入住前问前台吵不吵前台说不吵结果真的好吵半夜12点了楼下还在施工，离市区吃东西也比较远，带小朋友的不建议入住,,红梅xx桂芝,2022-01-27,1,负向
35,亚朵酒店,这次是我住过亚朵酒店最差的一次体验，进门口不会查看你粤康码，我订的是两个房间，两点半跟我说先给我一个房间有一个房间要三点给我，我说可以，跟着三点半给电话说马上就给我拿房卡给我，跟着等到四点我用房间电话打去前台，一直都说房卡已经送上来，跟着等了一段时间又不来，去前台说，到五点才给我,,柳xx瑞,2022-01-16,1,负向
36,亚朵酒店,亚朵酒店我住过好几次，最不满意就是这次。订房的时候千叮万嘱有小朋友希望早点入住，到入住那天，四点到的酒店却被告知房间还没打扫，并要求我降级入住。被我拒绝后声称半小时可以打扫完毕，结果到四点半去询问的时候却又说还要等40分钟，在等到五点之后再去询问，得到的回复还是继续等，并且全程接待人员就是一脸反正我就是没弄完，你能拿我怎么办。国庆期间比较繁忙可以理解，但是五点还不能给客人安排房间这是正常的吗？而且全程没有一句真诚的道歉，我一定要为了你们工作的失误而降级入住吗？谢谢这间亚朵酒店的工作人员让我对亚朵酒店有了新的认知。,,柳xx琳,2022-10-27,1,负向
37,亚朵酒店,凌晨四点入住 入住过程慢 说好房间升级才定的亚朵 （升一级）推开房门是非常失望的 而且凌晨四点入住 下午2点开始催我退房 说超过三点需要加收半天房费 这么晚入住酒店会推还一部分房费吗 真的双标 入住了多次亚朵 也许是前台个人问题 不是酒店 希望酒店彻查,,莉xx春梅,2022-04-26,1,负向
38,亚朵酒店,本来期待很高的，酒店也给我办理了在原套餐的基础上，加199元交会员费，升级为全景房，夜景倒是挺不错的，但是发现水壶有一层灰层，还有灯关不了，还有空调口对着床吹！花了这么多钱，居然关不了灯，半夜灯也修不好，搞得一个晚上没休息好！答应会给我补偿，到了第二天经理说不能补，只能退回我的会员卡升级费，然后也让我下次再交钱重新办理会员！然后还反过来怪我们半夜不接受换房。关键是你们换的房小，环境也没那么好！后来携程协商酒店也不退让，不愿意作出相应的补偿。反倒携程给我做了补偿！这样一对比就发现了公司之间的服务差距！多谢携程从客户角度出发！但是酒店，我个人觉得这个管理和服务有待提升！,,玉华xx建华,2022-03-25,1,负向
39,亚朵酒店,虽然还有那么点遗憾，虽然五分近在咫尺却又远在天涯，不过朵儿不会灰心的，相信下一次见面会有不一样的精彩！,,静xx云,2022-03-31,5,正向
40,亚朵酒店,这是住过最差的一家亚朵，卫生堪忧，还有床单洗漱用品感觉都是不卫生的，洗手间异味很重，床单睡了全身发痒。之前在广东其他城市住的亚朵酒店都是干净整洁舒适，房间都是智能型。这家亚朵可能在景区商圈里面，所以价格偏贵。,,伟xx小红,2022-02-02,1,负向
41,亚朵酒店,因为定的是套房，可以看摩天轮全景，所以环境和风景还是很好的，但是，服务真的要吐槽，可以说是没有服务，原定15:00入住，结果说房间没打扫出来，等到17:00才入住 期间前台小哥还一副理所当然很正常的态度，前台反应速度也很慢，叫拿点东西，没有一次能成功的，一整个大无语，是以后不会选择的店了，毕竟房间1300+一晚，这个服务实在不配这个价格。,,瑜xx淑英,2022-02-27,1,负向
42,亚朵酒店,一个字，差！两个字，极差！！三个字，非常差！！！今后再也不会住这个牌子的酒店了——第一次选择试试，结果真是试试就“逝世”。非常不满意的地方如下：一、说好下午3点入住的，xx，过五点了，还说搞卫生，不能入住，差不多快六点才给入住！然后只给次日下午2点退房，excuse me？！尤其还带着小朋友着呢！二、好不容易给入住了，xx，再次震惊，居然给了不同楼层的房卡，更令人无语的是，前台不认，说没搞错，真TM死鸭子嘴硬！房卡搞错不及时道歉处理，还一堆借口。三、说好的答应送欢迎水果，再次震惊，xx，没了！excuse me，你们的嘴是喷XXX的吗？！此生坚决与亚朵割裂！一生黑！！！（特别点赞处理投诉的携程小哥哥，能及时帮忙跟进，虽然最终处理结果不是很令本人满意，但我认为这已是他能力范围内所能做得最好了，本人也是很讲理的。做人不能太亚朵！对吧！）,,洁xx霞,2022-02-26,1,负向
43,亚朵酒店,定了两个放间，一个五点半入住，另一个六点半才能入住，服务较差。地板有声音，早上工地施工的声音吵得没办法睡觉。健身房的东西也少的可怜，根本算不上星级酒店。总体体验不好。,,桂珍xx桂荣,2022-02-22,1,负向
44,亚朵酒店,"预订的周六，上面写着三点可以办理入住。_x000D_
去到发现！！大堂黑压压的一大堆的人！！心想这是什么？？？排队？_x000D_
排队也不是好好的几条队，一条队排成两条，前台就三个人在那里，但是办理入住的只有一个人，另外两个是办理其它事情。_x000D_
简直无语，排队排了很久四点通知，现在退房的人延迟了，所以需要六点才可以给到房？？？？？这又是什么？？为什么？不是写着3能能入住吗？为什么排队了那么久之后还需要等到六点？？_x000D_
问解决办法是什么？“可以给您延迟退房。”_x000D_
抱歉，现在立刻就想上去休息睡觉。_x000D_
体验感简直差到一个最低点！一大堆的人等着入住被告知无房，需继续等待！_x000D_
酒店管理很差，饱和状态难道没有解决办法吗？提前预订的房间，到了约定的时间却告知下午六点才有房，排队了那么长的时候还不能住进去！_x000D_
走廊隔音效果也不好，978一晚根本不值这个价",,利xx秀芳,2022-08-22,1,负向
45,亚朵酒店,"春节前入住的，一直没时间评价，今天来认真写一下。_x000D_
? 交通：还算方便，有地库可以停车，还可以跟前台报车牌号免费。但有三个缺点：1地库位置标识不明显，很难找到；2地库会出现车牌识别问题，其中一次把我车牌识别错了但前台在我报车牌的时候没有指出；3酒店电梯边的车位会被停车很不规矩的人占用，跟酒店反馈也一点用都无。_x000D_
?卫生：保洁阿姨非常认真负责，满分好评。_x000D_
?环境：很差。底下就是停车场，入住的最后一天半夜1点后依然很吵闹，有改装车炸街也有酒鬼耍酒疯。酒店不管，打了电话给前台才说会报警处理；最终结果就是没有改善，不知道是酒店不行还是JC不行。_x000D_
?服务：很差。反馈的问题没有得到解决。即使前台态度再好，不能解决问题的实质也只能得到差评。_x000D_
酒店整体给我的体验就是3钻水平，短板过于明显，而除了卫生干净基本上没有闪光点。",,涛xx杨,2022-03-04,1,负向
46,亚朵酒店,虽然还有那么点遗憾，虽然五分近在咫尺却又远在天涯，不过朵儿不会灰心的，相信下一次见面会有不一样的精彩！,,莉xx宁,2022-05-02,5,正向
47,亚朵酒店,半夜起来两次打蚊子，不胜其烦。十点多就发现有蚊子，打电话给前台也没见解决。,,军xx凤兰,2022-11-30,1,负向
48,亚朵酒店,枕头上的污渍，地下的毛发，幸亏自己带了一次性枕套，早餐一般般，品种不是很多，节假日平常300多的房间，竟然回到1000，除了离欢乐海岸近，并于其他任何优势，总体来说不会去第二次,,超xx婷婷,2022-10-13,1,负向
49,亚朵酒店,我在亚朵酒店住，说可以免停车费，为什么还有全额收我停车费，没有任何解释，没有解决我的问题，还让我下次来住的时候补给我，我想我再去一次再被坑一次吗？！？！,,亮xx冬梅,2022-12-04,1,负向
50,亚朵酒店,性价比不高的一家酒店，刚到打电话去前台问他们停车可以停哪，回答得不详细，问一句答一句。然后在地下停车场找上大堂的电梯找了十分钟。早餐是凉的，味道也非常一般，杯子用的是纸杯，非常不环保！最神奇的是我们早上十点钟退房了，下午四点半尽然还收到酒店打来的电话问我什么时候退房是否还有续住？！这是什么操作？！,,艳xx兰英,2022-09-25,1,负向
51,亚朵酒店,入住等候时间太久了，一直说没打扫完，到晚饭后才能拿到房。如果急着入住的谨慎选择！,,敏xx玉,2022-01-30,1,负向
52,亚朵酒店,"体验很差的地方:_x000D_
1.出行忘带身份证，一楼前台很不客气直接叫我们退房，后来打携程电话客服告知可以去派出所开入住证明，最终成功办理入住; 很不满意前台未告诉我们解决方案而且很生硬直接叫客人退房换其他酒店。_x000D_
2.房间是12楼，空调特别吵，而且12点多还能听到dj那种鼓点，真的很难入睡_x000D_
3.牙刷，第一次拆到只有牙刷柄没有刷毛的牙刷，由此会有担心酒店对供应链的挑选和质检或许都很随意_x000D_
4.电视只能看频道，没有网络电视，不能投屏_x000D_
5.窗帘只有很薄的两层_x000D_
总结:从服务到设施，都达不到携程四钻标准，体验非常差！_x000D_
唯一的优点: 早餐好吃。",,建国xx洋,2022-01-13,1,负向
